Banjara,English
Tu raat ma khano banayo kai?,Did you cook dinner?
Ma raat ma khano banayo.,I cooked dinner.
Tu ghar ma sab ne bolayo kai?,Did you call everyone at home?
Ma sab ne bolayo.,I called everyone.
Tu mehman aaya kai?,Did guests come?
"Haa, mehman aaya.","Yes, guests came."
Tu mehman ne chai pivaayi kai?,Did you serve tea to guests?
Ma mehman ne chai pivaayi.,I served tea to guests.
Tu mehman sobat betho kai?,Did you sit with guests?
Ma mehman sobat betho.,I sat with guests.
Tu raat ma jaldi sute kai?,Did you sleep early at night?
Ma raat ma jaldi suto.,I slept early at night.
Tu sapna joyo kai?,Did you see a dream?
Ma sapna joyo.,I saw a dream.
Tu savere khushi ma uthyo kai?,Did you wake up happily?
Ma savere khushi ma uthyo.,I woke up happily.
Tu aaj bahar jaro kai?,Are you going outside today?
Ma aaj bahar jaro chhu.,I am going outside today.
Tu sanjh vakhte aayo kai?,Did you come in the evening?
Ma sanjh vakhte aayo.,I came in the evening.
Tu kal pacho aavso kai?,Will you come back tomorrow?
"Haa, ma kal pacho aavuchu.","Yes, I will come back tomorrow."
Tu man bharoso chha kai?,Do you trust me?
"Haa, mane bharoso chha.","Yes, I trust you."
Tu aaj khush chha kai?,Are you happy today?
"Haa, ma aaj khush chhu.","Yes, I am happy today."
Tu kaal thi taiyaar chha kai?,Are you ready from tomorrow?
"Haa, ma taiyaar chhu.","Yes, I am ready."
Tu savere kai khayo?,What did you eat in the morning?
Ma savere roti khayi.,I ate roti in the morning.
Tu aaj chai banavso kai?,Will you make tea today?
Ma aaj chai banavuchu.,I will make tea today.
Tu ghar ni chabi joyi kai?,Did you see the house key?
Ma chabi table par joyi.,I saw the key on the table.
Tu kapda taiyaar karyo kai?,Did you prepare the clothes?
Ma kapda taiyaar karyo.,I prepared the clothes.
Tu savere nahaayo kai?,Did you bathe in the morning?
Ma savere nahaayo.,I bathed in the morning.
Tu phone band karyo kai?,Did you switch off the phone?
Ma phone band karyo.,I switched off the phone.
Tu raat ma jaldi aayo kai?,Did you come early at night?
Ma raat ma jaldi aayo.,I came early at night.
Tu aaj bazaar javso kai?,Will you go to the market today?
Ma aaj bazaar javuchu.,I will go to the market today.
Tu sabji sasti mali kai?,Did you get vegetables cheap?
"Haa, sabji sasti mali.","Yes, vegetables were cheap."
Tu paisa sambhalyo kai?,Did you keep the money safely?
Ma paisa sambhalyo.,I kept the money safely.
Tu ghar ma pani chha kai?,Is there water at home?
"Haa, ghar ma pani chha.","Yes, there is water at home."
Tu bijli band joyi kai?,Did you notice the power cut?
"Haa, bijli band hati.","Yes, the power was off."
Tu candle layo kai?,Did you bring a candle?
Ma candle layo.,I brought a candle.
Tu raat ma bahar gayo kai?,Did you go out at night?
Ma raat ma bahar gayo.,I went out at night.
Tu rasta bhoolyo kai?,Did you miss the way?
Ma rasta bhoolyo nai.,I did not miss the way.
Tu aaj time par pahuncho kai?,Did you reach on time today?
"Haa, ma time par pahuncho.","Yes, I reached on time."
Tu bus ma gayo kai?,Did you go by bus?
Ma bus ma gayo.,I went by bus.
Tu ticket karyo kai?,Did you buy the ticket?
Ma ticket karyo.,I bought the ticket.
Tu seat mali kai?,Did you get a seat?
"Haa, mane seat mali.","Yes, I got a seat."
Tu gaav pacho aayo kai?,Did you return to the village?
Ma gaav pacho aayo.,I returned to the village.
Tu ghar vakhte pahuncho kai?,Did you reach home on time?
"Haa, ma vakhte pahuncho.","Yes, I reached on time."
Tu maa ne phone karyo kai?,Did you call your mother?
Ma maa ne phone karyo.,I called my mother.
Tu baba ne malyo kai?,Did you meet your father?
Ma baba ne malyo.,I met my father.
Tu aaj kaam ochho hato kai?,Was there less work today?
"Haa, aaj kaam ochho hato.","Yes, there was less work today."
Tu kal vadhu kaam karso kai?,Will you work more tomorrow?
Ma kal vadhu kaam karuchu.,I will work more tomorrow.
Tu notebook layo kai?,Did you bring the notebook?
Ma notebook layo.,I brought the notebook.
Tu pen chalto chha kai?,Is the pen working?
"Nahi, pen chalto nai.","No, the pen is not working."
Tu navo pen layo kai?,Did you bring a new pen?
Ma navo pen layo.,I brought a new pen.
Tu exam mate taiyaar chha kai?,Are you ready for the exam?
"Haa, ma taiyaar chhu.","Yes, I am ready."
Tu tension ma chha kai?,Are you in tension?
"Nahi, ma shant chhu.","No, I am calm."
Tu aaj khushi mehsoos karyo kai?,Did you feel happy today?
"Haa, aaj khushi mehsoos karyo.","Yes, I felt happy today."
Tu savere walk mate gayo kai?,Did you go for a walk in the morning?
Ma savere walk mate gayo.,I went for a walk in the morning.
Tu thakan mehsoos karyo kai?,Did you feel tired?
"Haa, thodi thakan hati.","Yes, there was some tiredness."
Tu aaram karyo kai?,Did you take rest?
Ma thodo aaram karyo.,I took some rest.
Tu aaj navo plan karyo kai?,Did you make a new plan today?
Ma aaj navo plan karyo.,I made a new plan today.
Tu plan safal thase kai?,Will the plan succeed?
"Haa, plan safal thase.","Yes, the plan will succeed."
Tu savere khidki kholi kai?,Did you open the window in the morning?
Ma savere khidki kholi.,I opened the window in the morning.
Tu hawa thandi mehsoos karyo kai?,Did you feel cool air?
"Haa, hawa thandi hati.","Yes, the air was cool."
Tu sanjh vakhte chai piyo kai?,Did you drink tea in the evening?
Ma sanjh vakhte chai piyo.,I drank tea in the evening.
Tu raat ma pustak vachyo kai?,Did you read a book at night?
Ma raat ma pustak vachyo.,I read a book at night.
Tu light band karyo kai?,Did you switch off the light?
Ma light band karyo.,I switched off the light.
Tu raat ma shant sute kai?,Did you sleep peacefully at night?
"Haa, ma shant rite suto.","Yes, I slept peacefully."
Tu savere time par uthyo kai?,Did you wake up on time in the morning?
"Haa, ma time par uthyo.","Yes, I woke up on time."
Tu aaj savere kai kido?,What did you do this morning?
Ma savere ghar saaf karyo.,I cleaned the house in the morning.
Tu kal raat kai joyo?,What did you see last night?
Ma kal raat tv joyo.,I watched TV last night.
Tu aaj kon sobat gayo?,With whom did you go today?
Ma bhai sobat gayo.,I went with my brother.
Tu savere chai ketli piyo?,How much tea did you drink in the morning?
Ma ek cup chai piyo.,I drank one cup of tea.
Tu aaj der thi uthyo kai?,Did you wake up late today?
"Haa, ma thodi der thi uthyo.","Yes, I woke up a little late."
Tu aaj savere nahaayo kai?,Did you bathe this morning?
Ma savere nahaayo.,I bathed in the morning.
Tu kapda dhoya pachi sukhaya kai?,Did you dry the clothes after washing?
Ma kapda sukhaya.,I dried the clothes.
Tu aaj kaam par time par pahuncho kai?,Did you reach work on time today?
"Haa, ma time par pahuncho.","Yes, I reached on time."
Tu boss sobat vaat kidi kai?,Did you talk with the boss?
Ma boss sobat vaat kidi.,I talked with the boss.
Tu aaj vadhu kaam karyo kai?,Did you do more work today?
"Haa, aaj vadhu kaam karyo.","Yes, I did more work today."
Tu thakan mehsoos kari kai?,Did you feel tired?
Thodi thakan mehsoos kari.,I felt a little tired.
Tu lunch vakhte kai khayo?,What did you eat for lunch?
Ma lunch vakhte bhat khayo.,I ate rice for lunch.
Tu aaj pani vadhu piyo kai?,Did you drink more water today?
"Haa, aaj vadhu pani piyo.","Yes, I drank more water today."
Tu sanjh vakhte ghar aayo kai?,Did you come home in the evening?
Ma sanjh vakhte ghar aayo.,I came home in the evening.
Tu rasta ma koi ne malyo kai?,Did you meet anyone on the way?
"Haa, ma dost ne malyo.","Yes, I met a friend."
Tu dost sobat kai vaat kidi?,What did you talk about with your friend?
Ame kaam vishe vaat kidi.,We talked about work.
Tu aaj bazaar thi kai layo?,What did you bring from the market today?
Ma phal ane sabji layo.,I brought fruits and vegetables.
Tu phal dhoya kai?,Did you wash the fruits?
Ma phal dhoya.,I washed the fruits.
Tu raat vakhte kai banayo?,What did you cook at night?
Ma raat vakhte bhaji banayi.,I cooked curry at night.
Tu ghar ma sab sobat khano khayo kai?,Did everyone eat together at home?
"Haa, sab sobat khano khayo.","Yes, everyone ate together."
Tu raat vakhte phone joyo kai?,Did you check the phone at night?
Ma raat vakhte phone joyo.,I checked the phone at night.
Tu message mokalyo kai?,Did you send a message?
Ma message mokalyo.,I sent a message.
Tu jawab malyo kai?,Did you get a reply?
"Haa, jawab malyo.","Yes, I got a reply."
Tu raat vakhte music sambhlyo kai?,Did you listen to music at night?
Ma raat vakhte music sambhlyo.,I listened to music at night.
Tu savere alarm sambhlyo kai?,Did you hear the alarm in the morning?
"Haa, alarm sambhlyo.","Yes, I heard the alarm."
Tu savere time par uthyo kai?,Did you wake up on time in the morning?
Ma time par uthyo.,I woke up on time.
Tu aaj navo kapdo paheryo kai?,Did you wear new clothes today?
Ma aaj navo kapdo paheryo.,I wore new clothes today.
Tu kapda saaf lagya kai?,Did the clothes look clean?
"Haa, kapda saaf lagya.","Yes, the clothes looked clean."
Tu aaj bahar garmi mehsoos kari kai?,Did you feel heat outside today?
"Haa, bahar garmi hati.","Yes, it was hot outside."
Tu chhat par gayo kai?,Did you go to the terrace?
Ma chhat par gayo.,I went to the terrace.
Tu hawa thandi lagi kai?,Did the air feel cool?
"Haa, hawa thandi lagi.","Yes, the air felt cool."
Tu sanjh vakhte walk karyo kai?,Did you take a walk in the evening?
Ma sanjh vakhte walk karyo.,I took a walk in the evening.
Tu ghar pachi shant mehsoos karyo kai?,Did you feel peaceful after coming home?
"Haa, ma shant mehsoos karyo.","Yes, I felt peaceful."
Tu aaj diary ma kai lakho kai?,Did you write anything in the diary today?
Ma diary ma aaj ni vaat lakho.,I wrote about today in the diary.
Tu kal mate plan karyo kai?,Did you plan for tomorrow?
"Haa, ma kal mate plan karyo.","Yes, I planned for tomorrow."
Tu kal savere jaldi uthso kai?,Will you wake up early tomorrow morning?
"Haa, ma jaldi uthuchu.","Yes, I will wake up early."
Tu kal kaam par javso kai?,Will you go to work tomorrow?
Ma kal kaam par javuchu.,I will go to work tomorrow.
Tu kal savere chai banavso kai?,Will you make tea tomorrow morning?
"Haa, ma chai banavuchu.","Yes, I will make tea."
Tu aaj din thi santusht chha kai?,Are you satisfied with today?
"Haa, aaj din thi santusht chhu.","Yes, I am satisfied with today."
Ma ghar ma rahyo chhu.,I stay at home.
Tu kaam karoch.,You work.
Ma pani piyo chhu.,I drink water.
Tu school jaro chhu.,You go to school.
Ma pustak vachochu.,I read a book.
Tu chai piyo chhu.,You drink tea.
Ma dosto sobat betho chhu.,I sit with friends.
Tu ghar saaf karoch.,You clean the house.
Ma maa ne madad karochu.,I help my mother.
Tu mobile vaproch.,You use the mobile.
Ma savere uthochu.,I wake up early.
Tu kaam ma dhyan aapoch.,You focus on work.
Ma khano khayo chhu.,I eat food.
Tu pani bharo chhu.,You fill water.
Ma bazaar jaro chhu.,I go to the market.
Tu kapda pahero chhu.,You wear clothes.
Ma raat ma sute chhu.,I sleep at night.
Tu ghar ma betho chhu.,You sit at home.
Ma chai banavochu.,I make tea.
Tu phone joyoch.,You check the phone.
Ma gaav ma rahyo chhu.,I live in the village.
Tu kaam pooro karoch.,You complete work.
Ma pani bharo chhu.,I fill water.
Tu rasta pakdoch.,You take the road.
Ma khushi mehsoos karochu.,I feel happy.
Tu savere walk karoch.,You walk in the morning.
Ma kapda dhoyo chhu.,I wash clothes.
Tu ghar pacho aaoch.,You return home.
Ma diary lakho chhu.,I write a diary.
Tu sanjh vakhte chai piyo chhu.,You drink tea in the evening.
Tu ghar ma rahyo chhu kai?,Do you live at home?
Tu kaam karoch kai?,Do you work?
Tu pani piyo chhu kai?,Do you drink water?
Tu school jaro chhu kai?,Do you go to school?
Tu pustak vachoch kai?,Do you read books?
Tu chai piyo chhu kai?,Do you drink tea?
Tu dosto sobat bethoch kai?,Do you sit with friends?
Tu ghar saaf karoch kai?,Do you clean the house?
Tu maa ne madad karoch kai?,Do you help your mother?
Tu mobile vaproch kai?,Do you use a mobile?
Tu savere uthoch kai?,Do you wake up early?
Tu kaam ma dhyan aapoch kai?,Do you focus on work?
Tu khano khayo chhu kai?,Do you eat food?
Tu pani bharo chhu kai?,Do you fill water?
Tu bazaar jaro chhu kai?,Do you go to the market?
Tu kapda pahero chhu kai?,Do you wear clothes?
Tu raat ma sute chhu kai?,Do you sleep at night?
Tu ghar ma betho chhu kai?,Do you sit at home?
Tu chai banavoch kai?,Do you make tea?
Tu phone joyoch kai?,Do you check your phone?
Tu gaav ma rahyo chhu kai?,Do you live in the village?
Tu kaam pooro karoch kai?,Do you complete your work?
Tu savere walk karoch kai?,Do you walk in the morning?
Tu kapda dhoyo chhu kai?,Do you wash clothes?
Tu ghar pacho aaoch kai?,Do you return home?
Tu ghar ma rahyo kai?,Did you stay at home?
Tu kaam karyo kai?,Did you work?
Tu pani piyo kai?,Did you drink water?
Tu school gayo kai?,Did you go to school?
Tu pustak vachyo kai?,Did you read a book?
Tu chai piyo kai?,Did you drink tea?
Tu dosto sobat betho kai?,Did you sit with friends?
Tu ghar saaf karyo kai?,Did you clean the house?
Tu maa ne madad kidi kai?,Did you help your mother?
Tu mobile vapryo kai?,Did you use the mobile?
Tu savere uthyo kai?,Did you wake up early?
Tu kaam ma dhyan aapyo kai?,Did you focus on work?
Tu khano khayo kai?,Did you eat food?
Tu pani bharyo kai?,Did you fill water?
Tu bazaar gayo kai?,Did you go to the market?
Tu kapda paherya kai?,Did you wear clothes?
Tu raat ma suto kai?,Did you sleep at night?
Tu ghar ma betho kai?,Did you sit at home?
Tu chai banayi kai?,Did you make tea?
Tu phone joyo kai?,Did you check your phone?
Tu gaav ma rahyo kai?,Did you live in the village?
Tu kaam pooro karyo kai?,Did you complete the work?
Tu savere walk karyo kai?,Did you walk in the morning?
Tu kapda dhoya kai?,Did you wash clothes?
Tu ghar pacho aayo kai?,Did you return home?
,
Tu ghar ma rahso kai?,Will you stay at home?
Tu kaam karso kai?,Will you work?
Tu pani pioso kai?,Will you drink water?
Tu school jaso kai?,Will you go to school?
Tu pustak vachso kai?,Will you read a book?
Tu chai pioso kai?,Will you drink tea?
Tu dosto sobat bethso kai?,Will you sit with friends?
Tu ghar saaf karso kai?,Will you clean the house?
Tu maa ne madad karso kai?,Will you help your mother?
Tu mobile vaprso kai?,Will you use the mobile?
Tu savere uthso kai?,Will you wake up early?
Tu kaam ma dhyan aapso kai?,Will you focus on work?
Tu khano khaso kai?,Will you eat food?
Tu pani bharso kai?,Will you fill water?
Tu bazaar jaso kai?,Will you go to the market?
Tu kapda paherso kai?,Will you wear clothes?
Tu raat ma sutso kai?,Will you sleep at night?
Tu ghar ma bethso kai?,Will you sit at home?
Tu chai banavso kai?,Will you make tea?
Tu phone joso kai?,Will you check the phone?
Tu gaav ma rahso kai?,Will you live in the village?
Tu kaam pooro karso kai?,Will you complete the work?
Tu savere walk karso kai?,Will you walk in the morning?
Tu kapda dhoso kai?,Will you wash clothes?
Tu ghar pacho aavso kai?,Will you return home?
,
Tu kai karoch?,What are you doing?
Tu katha rahyo chhu?,Where do you live?
Tu kai vakhte uthoch?,When do you wake up?
Tu kon sobat bethoch?,Who do you sit with?
Tu kashen late aaoch?,Why do you come late?
Tu kaise kaam karoch?,How do you work?
Tu kai khano khayoch?,What food do you eat?
Tu katha jaro chhu?,Where do you go?
Tu kai vakhte kaam shuru karoch?,When do you start work?
Tu koni madad karoch?,Whom do you help?
Tu kashen chai piyo chhu?,Why do you drink tea?
Tu kaise bazaar jaro chhu?,How do you go to the market?
Tu kai pustak vachoch?,What book do you read?
Tu katha kaam karoch?,Where do you work?
Tu kai vakhte raat ma sute chhu?,When do you sleep at night?
Tu kon sobat raho chhu?,With whom do you live?
Tu kashen pani vadhu piyo chhu?,Why do you drink more water?
Tu kaise ghar pacho aaoch?,How do you return home?
Tu kai kaam savere karoch?,What work do you do in the morning?
Tu katha sanjh vakhte jaro chhu?,Where do you go in the evening?
Tu kal kai kido?,What did you do yesterday?
Tu kal katha gayo?,Where did you go yesterday?
Tu kai vakhte uthyo?,When did you wake up?
Tu kal kon sobat gayo?,Who did you go with yesterday?
Tu kashen late aayo?,Why did you come late?
Tu kaise kaam karyo?,How did you work?
Tu kal kai khano khayo?,What food did you eat yesterday?
Tu katha raat ma suto?,Where did you sleep at night?
Tu kai vakhte kaam shuru karyo?,When did you start work?
Tu koni madad kidi?,Whom did you help?
Tu kashen chai piyo?,Why did you drink tea?
Tu kaise bazaar gayo?,How did you go to the market?
Tu kai pustak vachyo?,What book did you read?
Tu kal katha kaam karyo?,Where did you work yesterday?
Tu kai vakhte ghar pacho aayo?,When did you return home?
Tu kal kon sobat betho?,With whom did you sit yesterday?
Tu kashen pani vadhu piyo?,Why did you drink more water?
Tu kaise rasta pakdyo?,How did you take the route?
Tu kal savere kai kido?,What did you do in the morning yesterday?
Tu katha sanjh vakhte gayo?,Where did you go in the evening
Tu kai karso?,What will you do?
Tu katha jaso?,Where will you go?
Tu kai vakhte uthso?,When will you wake up?
Tu kon sobat jaso?,Who will you go with?
Tu kashen jaldi aavso?,Why will you come early?
Tu kaise kaam karso?,How will you work?
Tu kai khano khaso?,What food will you eat?
Tu katha rahso?,Where will you stay?
Tu kai vakhte kaam shuru karso?,When will you start work?
Tu koni madad karso?,Whom will you help?
Tu kashen chai pioso?,Why will you drink tea?
Tu kaise bazaar jaso?,How will you go to the market?
Tu kai pustak vachso?,What book will you read?
Tu katha kaam karso?,Where will you work?
Tu kai vakhte ghar pacho aavso?,When will you return home?
Tu kon sobat rahso?,With whom will you live?
Tu kashen pani vadhu pioso?,Why will you drink more water?
Tu kaise rasta pakadso?,How will you take the route?
Tu savere kai kaam karso?,What work will you do in the morning?
Tu sanjh vakhte katha jaso?,Where will you go in the evening?
Ma kaam karochu.,I am working.
Ma gaav ma rahyo chhu.,I live in the village.
Ma savere chaar vakhte uthochu.,I wake up at four in the morning.
Ma dosto sobat bethochu.,I sit with friends.
Ma kaam vadhu hato etle.,Because there was more work.
Ma dhyan thi kaam karochu.,I work carefully.
Ma bhat ane bhaji khayochu.,I eat rice and curry.
Ma bazaar jaro chhu.,I go to the market.
Ma savere nau vakhte shuru karochu.,I start work at nine.
Ma maa ne madad karochu.,I help my mother.
Ma thakan ghatavva mate chai piyo chhu.,I drink tea to reduce tiredness.
Ma bus thi bazaar jaro chhu.,I go to the market by bus.
Ma samanya pustak vachochu.,I read a general book.
Ma office ma kaam karochu.,I work in an office.
Ma raat ma das vakhte sute chhu.,I sleep at ten at night.
Ma parivaar sobat rahyo chhu.,I live with my family.
Ma sharir taja rakhva mate pani piyo chhu.,I drink water to stay fresh.
Ma paidal ghar pacho aaoch.,I return home on foot.
Ma savere ghar saaf karochu.,I clean the house in the morning.
Ma sanjh vakhte ghar jaro chhu.,I go home in the evening.
Ma kal ghar ma rahyo.,I stayed at home yesterday.
Ma kal bazaar gayo.,I went to the market yesterday.
Ma savere panch vakhte uthyo.,I woke up at five in the morning.
Ma bhai sobat gayo.,I went with my brother.
Bus der thi aavi etle.,Because the bus arrived late.
Ma puri mehnat thi kaam karyo.,I worked with full effort.
Ma roti ane dal khayo.,I ate roti and dal.
Ma ghar ma suto.,I slept at home.
Ma savere das vakhte shuru karyo.,I started at ten in the morning.
Ma maa ne madad kidi.,I helped my mother.
Thakan hati etle chai piyo.,Because I was tired.
Ma bus thi bazaar gayo.,I went to the market by bus.
Ma navi pustak vachyo.,I read a new book.
Ma khet ma kaam karyo.,I worked in the field.
Ma sanjh vakhte ghar pacho aayo.,I returned home in the evening.
Ma dosto sobat betho.,I sat with friends.
Garmi hati etle pani vadhu piyo.,Because it was hot.
Ma mukhya rasta pakdyo.,I took the main road.
Ma savere kapda dhoya.,I washed clothes in the morning.
Ma sanjh vakhte gaav gayo.,I went to the village in the evening.
Ma kaam karuchu.,I will work.
Ma bazaar jaso.,I will go to the market.
Ma savere chaar vakhte uthuchu.,I will wake up at four in the morning.
Ma dosto sobat jaso.,I will go with friends.
Kaam jaldi chhe etle.,Because the work is early.
Ma niyojan thi kaam karuchu.,I will work with planning.
Ma roti ane sabji khaso.,I will eat roti and vegetables.
Ma ghar ma rahso.,I will stay at home.
Ma savere nau vakhte shuru karso.,I will start at nine in the morning.
Ma maa ne madad karuchu.,I will help my mother.
Sharir taja rakhva mate.,To keep the body fresh.
Ma bus thi bazaar jaso.,I will go to the market by bus.
Ma abhyas ni pustak vachso.,I will read a study book.
Ma office ma kaam karso.,I will work in an office.
Ma raat vakhte ghar pacho aavso.,I will return home at night.
Ma parivaar sobat rahso.,I will live with my family.
Garmi vadhse etle.,Because the heat will increase.
Ma sacho rasta pakadso.,I will take the correct route.
Ma savere ghar saaf karso.,I will clean the house in the morning.
Ma sanjh vakhte gaav jaso.,I will go to the village in the evening.
"Haa, ma pani piyo chhu.","Yes, I drink water."
"Nahi, aaj pani nai.","No, not today."
"Haa, ma savere uthochu.","Yes, I wake up early."
"Nahi, aaj der thi uthyo.","No, I woke up late today."
"Haa, ma ghar saaf karochu.","Yes, I clean the house."
"Nahi, aaj saaf nai.","No, not today."
"Haa, ma maa ne madad karochu.","Yes, I help my mother."
"Nahi, aaj madad nai.","No, not today."
"Haa, ma raat ma sute chhu.","Yes, I sleep at night."
"Nahi, aaj raat nai.","No, not tonight."
"Haa, ma phone joyochu.","Yes, I check the phone."
"Nahi, phone joyo nai.","No, I did not check the phone."
"Haa, ma ghar ma rahyo.","Yes, I stayed at home."
